排名(rank),电影ID(id),电影名称(title),评分(score),评分人数(vote_count),上映日期(release_date),类型(types),地区(regions),主演(actors),主演人数(actor_count),是否可播放(is_playable),是否已观看(is_watched),封面接(cover_url),详情页链接(url)
1,1296141,控方证人,9.6,734269,2025-12-05,"剧情,犯罪,悬疑,惊悚",美国,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,埃尔莎·兰彻斯特,约翰·威廉姆斯,亨利·丹尼尔,伊安·沃尔夫,托林·撒切尔,诺玛·威登,尤娜·奥康纳",54,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg,https://movie.douban.com/subject/1296141/
2,3541415,盗梦空间,9.4,2311258,2010-09-01,"剧情,科幻,悬疑,冒险","美国,英国","莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,汤姆·哈迪,渡边谦,迪利普·劳,基里安·墨菲,汤姆·贝伦杰,玛丽昂·歌迪亚,皮特·波斯尔思韦特",30,True,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/
3,5294851,控方证人,9.4,104394,1982-12-04,"剧情,犯罪,悬疑","美国,英国","拉尔夫·理查德森,黛博拉·蔻儿,博·布里奇斯,黛安娜·里格,温蒂·希勒,唐纳德·普利森斯,彼得·萨利斯,弗兰克·米尔斯",8,True,False,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg,https://movie.douban.com/subject/5294851/
4,1900841,窃听风暴,9.2,629161,2006-03-23,"剧情,悬疑",德国,"乌尔里希·穆埃,马蒂娜·格德克,塞巴斯蒂安·科赫,乌尔里希·图库尔,托马斯·蒂梅,汉斯-尤韦·鲍尔,沃克马·克莱纳特,马提亚斯·布伦纳,查理·哈纳,赫伯特·克瑙普",23,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/
5,1304920,切腹,9.4,58287,1962-09-16,"剧情,动作,悬疑",日本,"仲代达矢,石浜朗,岩下志麻,丹波哲郎,三岛雅夫,中谷一郎,佐藤庆,稻叶义男,井川比佐志,武内亨",19,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg,https://movie.douban.com/subject/1304920/
6,1395091,未麻的部屋,9.1,423309,1997-08-05,"剧情,犯罪,动画,悬疑,惊悚",日本,"岩男润子,松本梨香,辻亲八,大仓正章,秋元羊介,盐屋翼,堀秀行,筱原惠美,江原正士,梁田清之",24,False,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,https://movie.douban.com/subject/1395091/
7,1292000,搏击俱乐部,9.0,968051,1999-09-10,"剧情,动作,悬疑,惊悚",美国,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,扎克·格雷尼尔,米特·洛夫,杰瑞德·莱托,艾恩·贝利,里奇蒙德·阿奎特,乔治·马奎尔,卡尔·西阿法里奥",29,True,False,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,https://movie.douban.com/subject/1292000/
8,1865703,红辣椒,9.0,566647,2006-09-02,"动画,悬疑,科幻,惊悚",日本,"林原惠美,江守彻,堀胜之祐,古谷彻,大塚明夫,山寺宏一,田中秀幸,兴梠里美,岩田光央,爱河里花子",18,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg,https://movie.douban.com/subject/1865703/
9,1293181,惊魂记,9.0,355325,1960-06-16,"悬疑,惊悚,恐怖",美国,"安东尼·博金斯,维拉·迈尔斯,约翰·加文,珍妮特·利,马丁·鲍尔萨姆,约翰·麦克因泰,西蒙·奥克兰,弗兰克·艾伯森,帕特里夏·希区柯克,沃恩·泰勒",31,True,False,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,https://movie.douban.com/subject/1293181/
10,2334904,禁闭岛,8.9,1107425,2010-02-13,"剧情,悬疑,惊悚",美国,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利,马克斯·冯·叙多夫,米歇尔·威廉姆斯,艾米莉·莫迪默,派翠西娅·克拉克森,杰基·厄尔·哈利,泰德·拉文,约翰·卡洛·林奇",32,True,False,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,https://movie.douban.com/subject/2334904/
