商品名称,价格,评论数,图片
REDMI Turbo 5 Max,2499,13.7万,https://cdn.cnbj1.fds.api.mi-img.com/nr-upload-outer/B63BA6D6C31982C1D444549CB04677CE_1769589378105.jpg
Xiaomi路由器AX3000T,199,31.2万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202308231437_b16fa069a2e0f6a1919d8c3e32ec5775.png
日常元素防蛀护龈牙膏,12.9,41.1万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202307121748_07588ba60539b403be129694d3434290.png
米家空气炸锅S1 6L,299,13.4万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202506121550_c30b46602a3e9e0a5eddc9e6c62709ca.png
REDMI K80 至尊版,2599,58.1万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202506181453_d97271f45499e132cbf0b597d5f7e04d.png
5号彩虹电池（10粒）,13.9,724万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202504011609_747477d23f22328d44d877577b1c032b.png
米家智能鱼缸,399,10.9万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202303141419_88c2388db0b2b9543c31740306108ac0.png
米家多功能电火锅6L,329,2.7万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202409301049_128566547020c7088db983a75979fbc3.png
小米磁吸散热背夹,199,1.4万,https://cdn.cnbj1.fds.api.mi-img.com/nr-pub/202411011458_15d636d7effa6cdd93e26b4e265d4230.png
REDMI Buds 8 Pro,399,4.5万,https://cdn.cnbj1.fds.api.mi-img.com/nr-upload-outer/A5A2D7F1CAAE430199662A8FB22EBD1D_1769570182491.png
